STUDENT_ID,DET_Region,METRO/NON-METRO,EDUCATION SECTOR,LOCAL GOVERNMENT AREA,SEX,STUDY STRAND,SES_QUARTILE,SES quartile (student residence),Country_of_birth,LOTE SPOKEN AT HOME,DESTINATION,DESTINATION (including deferrals)
16061,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,F,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16062,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,F,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16063,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,F,VCE non-VET,Lowest,Lowest,Australia,No,Bachelor degree,Bachelor degree
16064,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,M,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16065,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,M,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16066,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,M,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16067,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,F,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16068,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,M,VCE VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16069,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,M,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16070,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16071,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE non-VET,High,Highest,Australia,Yes,Bachelor degree,Bachelor degree
16072,North-Western Victoria,Metropolitan,Government,Banyule,F,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16073,North-Western Victoria,Metropolitan,Government,Banyule,F,VCE non-VET,High,Highest,Australia,Yes,Bachelor degree,Bachelor degree
16074,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16075,North-Western Victoria,Metropolitan,Government,Banyule,F,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16076,North-Eastern Victoria,Non-Metropolitan,Government,Wodonga,F,VCE VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16077,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,F,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16078,North-Eastern Victoria,Non-Metropolitan,Government,Moira,F,VCE non-VET,Lowest,Lowest,Australia,No,Bachelor degree,Bachelor degree
16079,North-Western Victoria,Metropolitan,Government,Yarra,F,VCE non-VET,Lowest,Lowest,Australia,No,Bachelor degree,Bachelor degree
16080,North-Western Victoria,Non-Metropolitan,Government,Swan Hill,F,VCE non-VET,Lowest,Lowest,Australia,No,Bachelor degree,Bachelor degree
16081,North-Western Victoria,Metropolitan,Government,Yarra,F,VCE non-VET,Low - Medium,Lower-middle,Australia,No,Bachelor degree,Bachelor degree
16082,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,F,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16083,North-Eastern Victoria,Non-Metropolitan,Government,Moira,F,VCE non-VET,Lowest,Lowest,Australia,No,Bachelor degree,Bachelor degree
16084,South-Eastern Victoria,Metropolitan,Catholic,Casey,M,VCE non-VET,Low - Medium,Lower-middle,Australia,No,Bachelor degree,Bachelor degree
16085,North-Eastern Victoria,Non-Metropolitan,Government,Moira,F,VCE VET,Lowest,Lowest,Australia,No,Bachelor degree,Bachelor degree
16086,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,F,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16087,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,F,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16088,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,F,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16089,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,M,VCE non-VET,Medium,Upper-middle,Australia,Yes,Bachelor degree,Bachelor degree
16090,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,M,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16091,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,M,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16092,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,M,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16093,North-Western Victoria,Metropolitan,Government,Yarra,F,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16094,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,F,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16095,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,F,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16096,South-Western Victoria,Non-Metropolitan,Catholic,Greater Geelong,F,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16097,North-Eastern Victoria,Non-Metropolitan,Catholic,Moira,M,VCE non-VET,Unknown,Unknown,Australia,No,Bachelor degree,Bachelor degree
16098,North-Western Victoria,Metropolitan,Government,Yarra,M,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16099,North-Western Victoria,Metropolitan,Government,Yarra,M,VCE non-VET,Low - Medium,Lower-middle,Australia,No,Bachelor degree,Bachelor degree
16100,South-Eastern Victoria,Metropolitan,Independent,Glen Eira,F,VCE VET,High,Highest,Australia,Yes,Bachelor degree,Bachelor degree
16101,South-Eastern Victoria,Metropolitan,Catholic,Greater Dandenong,F,VCE non-VET,Low - Medium,Lower-middle,Australia,Yes,Bachelor degree,Bachelor degree
16102,South-Western Victoria,Metropolitan,Government,Moonee Valley,M,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16103,South-Western Victoria,Metropolitan,Government,Moonee Valley,M,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16104,South-Western Victoria,Metropolitan,Government,Moonee Valley,M,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16105,South-Western Victoria,Metropolitan,Government,Moonee Valley,F,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16106,South-Western Victoria,Metropolitan,Government,Moonee Valley,M,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16107,South-Western Victoria,Metropolitan,Government,Moonee Valley,F,VCE non-VET,Lowest,Lowest,Australia,Yes,Bachelor degree,Bachelor degree
16108,South-Western Victoria,Metropolitan,Government,Moonee Valley,M,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16109,North-Western Victoria,Metropolitan,Government,Yarra,M,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16110,North-Western Victoria,Metropolitan,Independent,Hume,F,VCE non-VET,Low - Medium,Lower-middle,Australia,Yes,Bachelor degree,Bachelor degree
16111,North-Western Victoria,Metropolitan,Independent,Hume,F,VCE non-VET,Medium,Upper-middle,Australia,Yes,Bachelor degree,Bachelor degree
16112,North-Western Victoria,Metropolitan,Independent,Hume,F,VCE non-VET,Lowest,Lowest,Australia,Yes,Bachelor degree,Bachelor degree
16113,South-Western Victoria,Metropolitan,Independent,Wyndham,M,VCE VET,Low - Medium,Lower-middle,Australia,Yes,Bachelor degree,Bachelor degree
